               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.046663,            0.013499,                   0,             0.67847,                 0.1,             0.13592,            0.062287,            0.058726,            0.012257,                   0,           0.0097855,           0.0097855,           0.0097855
                  67,            0.038911,            0.014808,                   0,             0.78525,             0.42671,             0.47062,              0.2171,            0.051631,           0.0086632,                   0,           0.0097822,           0.0097822,           0.0097822
                  68,            0.042361,            0.012663,                   0,             0.77569,                0.45,             0.47349,             0.22571,            0.050568,           0.0088665,                   0,           0.0097789,           0.0097789,           0.0097789
                  69,            0.042078,            0.014198,                   0,             0.72853,                 0.4,             0.48065,             0.25048,            0.051745,           0.0090747,                   0,           0.0097756,           0.0097756,           0.0097756
                  70,            0.041298,             0.01253,                   0,             0.62932,             0.38333,             0.39249,             0.20109,            0.052817,            0.010174,                   0,           0.0097723,           0.0097723,           0.0097723
                  71,            0.043284,             0.01428,                   0,             0.41046,             0.36667,             0.26056,             0.12071,             0.05248,            0.011477,                   0,            0.009769,            0.009769,            0.009769
                  72,            0.044001,            0.011894,                   0,             0.62059,             0.36667,             0.36585,             0.18643,            0.053767,            0.010484,                   0,           0.0097657,           0.0097657,           0.0097657
                  73,            0.043021,             0.01383,                   0,             0.28605,             0.16667,             0.10579,            0.029855,            0.061876,            0.013078,                   0,           0.0097624,           0.0097624,           0.0097624
                  74,            0.040393,            0.012899,                   0,            0.001976,             0.21667,           0.0016219,           0.0004757,            0.082934,            0.014602,                   0,           0.0097591,           0.0097591,           0.0097591
                  75,            0.042369,            0.014298,                   0,             0.14733,             0.13333,            0.061444,            0.018603,            0.070514,            0.012932,                   0,           0.0097558,           0.0097558,           0.0097558
                  76,            0.041967,            0.014947,                   0,             0.66878,             0.41667,             0.45018,             0.24936,            0.047453,           0.0088453,                   0,           0.0097525,           0.0097525,           0.0097525
                  77,            0.041617,            0.013485,                   0,             0.58665,             0.46667,             0.46137,             0.22887,            0.049648,           0.0094657,                   0,           0.0097492,           0.0097492,           0.0097492
                  78,            0.039599,            0.014236,                   0,             0.50976,             0.33333,             0.31409,              0.1422,            0.053237,            0.010554,                   0,           0.0097459,           0.0097459,           0.0097459
                  79,             0.04056,            0.013473,                   0,              0.4956,             0.37673,             0.33893,              0.1638,            0.052198,            0.010388,                   0,           0.0097426,           0.0097426,           0.0097426
                  80,            0.040964,            0.015364,                   0,              0.5361,             0.33333,             0.35884,              0.1864,            0.054744,            0.010388,                   0,           0.0097393,           0.0097393,           0.0097393
                  81,            0.043076,            0.013116,                   0,              0.4282,             0.33333,             0.32413,             0.17007,            0.052867,            0.010504,                   0,            0.009736,            0.009736,            0.009736
                  82,            0.041045,            0.014421,                   0,             0.45215,              0.4677,             0.38791,             0.18471,            0.049982,           0.0089579,                   0,           0.0097327,           0.0097327,           0.0097327
                  83,            0.040731,            0.012752,                   0,             0.53436,             0.41667,              0.4021,              0.1845,            0.051079,           0.0091872,                   0,           0.0097294,           0.0097294,           0.0097294
                  84,            0.041176,            0.013639,                   0,             0.52125,                 0.4,             0.35479,             0.17756,               0.052,           0.0093575,                   0,           0.0097261,           0.0097261,           0.0097261
                  85,            0.043779,            0.012969,                   0,             0.58067,             0.39245,             0.39002,             0.16447,            0.052775,           0.0092764,                   0,           0.0097228,           0.0097228,           0.0097228
                  86,            0.040096,            0.012523,                   0,             0.73504,             0.41614,             0.46251,             0.20906,            0.049735,           0.0090384,                   0,           0.0097195,           0.0097195,           0.0097195
                  87,            0.040078,            0.013486,                   0,             0.67403,                0.45,              0.4487,             0.21409,            0.052253,           0.0088975,                   0,           0.0097162,           0.0097162,           0.0097162
                  88,             0.04043,            0.012818,                   0,              0.5911,             0.41667,             0.43982,             0.21382,            0.050007,           0.0092175,                   0,           0.0097129,           0.0097129,           0.0097129
                  89,             0.03978,            0.012348,                   0,             0.56199,             0.23333,             0.30196,             0.09847,            0.053051,            0.012173,                   0,           0.0097096,           0.0097096,           0.0097096
                  90,            0.040875,            0.012671,                   0,             0.46482,             0.43333,             0.41993,             0.17423,            0.051796,            0.010067,                   0,           0.0097063,           0.0097063,           0.0097063
                  91,            0.039293,            0.011348,                   0,             0.53658,                 0.3,             0.26938,              0.1133,            0.053117,            0.011648,                   0,            0.009703,            0.009703,            0.009703
                  92,            0.038719,             0.01303,                   0,             0.70012,             0.38333,             0.43275,             0.18825,            0.051233,            0.010111,                   0,           0.0096997,           0.0096997,           0.0096997
                  93,            0.039479,            0.013286,                   0,             0.70918,             0.41667,             0.42341,             0.19129,            0.052797,            0.010685,                   0,           0.0096964,           0.0096964,           0.0096964
                  94,            0.038668,            0.012988,                   0,             0.44111,             0.38333,             0.33335,             0.15386,            0.051483,            0.011498,                   0,           0.0096931,           0.0096931,           0.0096931
                  95,            0.036892,            0.012837,                   0,             0.15684,                0.15,            0.082567,            0.027909,             0.06121,            0.014556,                   0,           0.0096898,           0.0096898,           0.0096898
                  96,            0.039031,            0.012669,                   0,             0.44911,             0.29895,             0.29029,             0.12728,            0.054446,            0.011456,                   0,           0.0096865,           0.0096865,           0.0096865
                  97,             0.03752,            0.011303,                   0,              0.8039,             0.43333,             0.48828,             0.24344,            0.054998,            0.008919,                   0,           0.0096832,           0.0096832,           0.0096832
